date,tps,cpu_usage,ram_usage,avg_ping
2025-06-07 20:38:57.158000-06:00,19.990303680390287,21.55679449863983,1099,
2025-06-07 20:39:57.158000-06:00,19.99871434684137,19.268224734793552,1104,
2025-06-07 20:40:57.158000-06:00,19.991544146757953,20.760084544793468,1107,
2025-06-07 20:41:57.158000-06:00,19.99105631716451,20.572396800945,1160,
2025-06-07 20:42:57.158000-06:00,19.77779891578041,20.42617845142896,1172,
2025-06-07 20:43:57.158000-06:00,19.99847484021866,18.157891630722794,1157,126.5
2025-06-07 20:44:57.158000-06:00,20.0,18.287454726549466,1189,127.25
2025-06-07 20:45:57.158000-06:00,20.0,18.469335103310218,1209,125.75
2025-06-07 20:46:57.158000-06:00,20.0,20.198780654278902,1198,130.25
2025-06-07 20:47:57.158000-06:00,19.786777117724274,23.092723755404155,1204,130.0
