date,tps,cpu_usage,ram_usage,avg_ping
2025-06-07 21:32:43.174000-06:00,19.991452199185442,19.356211377996008,2326,85.0
2025-06-07 21:33:43.174000-06:00,19.99726208244962,18.308253759588574,2355,119.5
2025-06-07 21:34:43.174000-06:00,20.0,16.44105844760507,2405,178.5
2025-06-07 21:35:43.174000-06:00,19.92781448776518,17.91799916573971,2341,319.5
2025-06-07 21:36:43.174000-06:00,19.805858134062735,16.79688639884865,2350,149.0
2025-06-07 21:37:43.174000-06:00,19.99880395025932,19.207236849365255,2197,162.0
2025-06-07 21:38:43.174000-06:00,19.966366716061557,16.440296216575423,2247,151.0
2025-06-07 21:39:43.174000-06:00,19.938953047400943,17.89752406222964,2230,150.0
2025-06-07 21:40:43.174000-06:00,19.93230730645947,17.487550889777324,2298,138.0
2025-06-07 21:41:43.174000-06:00,19.779803476872306,19.01934036004009,2225,122.0
