date,tps,cpu_usage,ram_usage,avg_ping
2025-06-07 19:56:47.023000-06:00,19.096066945441112,23.873226148472323,2004,
2025-06-07 19:57:47.023000-06:00,19.309821103055402,23.84654648618875,3307,
2025-06-07 19:58:47.023000-06:00,19.88817852396899,22.51929503946417,3886,
2025-06-07 19:59:47.023000-06:00,19.79774717742799,21.950747876569004,3544,
2025-06-07 20:00:47.023000-06:00,19.718579791526277,21.28140187149371,2837,
2025-06-07 20:01:47.023000-06:00,20.0,18.348078629296786,3897,122.5
2025-06-07 20:02:47.023000-06:00,20.0,19.000105784266786,4636,125.0
2025-06-07 20:03:47.023000-06:00,19.999581102311634,17.51855839621015,2674,130.25
2025-06-07 20:04:47.023000-06:00,19.996843130509045,17.58646190940187,4958,129.5
2025-06-07 20:05:47.023000-06:00,19.687458459881398,16.465598987139867,2695,132.25
