date,tps,cpu_usage,ram_usage,avg_ping
2025-06-07 21:09:45.230000-06:00,20.0,26.342107683472854,1328,
2025-06-07 21:10:45.230000-06:00,20.0,22.986128917378917,1326,
2025-06-07 21:11:45.230000-06:00,20.0,22.512769637769633,1323,
2025-06-07 21:12:45.230000-06:00,19.91348889695462,23.38206476101591,1317,
2025-06-07 21:13:45.230000-06:00,19.711861356866518,26.40727598019265,1332,
2025-06-07 21:14:45.230000-06:00,19.946360101879883,20.73134072717405,1326,158.75
2025-06-07 21:15:45.230000-06:00,19.974728505555216,21.63416598833265,1312,165.0
2025-06-07 21:16:45.230000-06:00,19.98008408845753,20.42734025234025,1347,159.0
2025-06-07 21:17:45.230000-06:00,19.98876176767773,23.155047155909223,1414,160.25
2025-06-07 21:18:45.230000-06:00,19.813318959842622,18.908262108262104,1494,163.5
