date,tps,cpu_usage,ram_usage,avg_ping
2025-06-07 21:49:30.387000-06:00,19.88137718327173,32.31247947830324,2736,
2025-06-07 21:50:30.387000-06:00,19.79980329149458,31.142151009757967,3371,
2025-06-07 21:51:30.387000-06:00,19.92438752240737,31.433279097041613,4039,
2025-06-07 21:52:30.387000-06:00,19.458476254275396,30.493978158433507,3668,
2025-06-07 21:53:30.387000-06:00,19.65799592306553,31.362927061212943,4064,
2025-06-07 21:54:30.387000-06:00,19.76321524425126,27.860937351384347,3990,146.75
2025-06-07 21:55:30.387000-06:00,19.896716587709623,27.29063257019865,4361,146.25
2025-06-07 21:56:30.387000-06:00,19.802066755019766,25.512455774502815,3988,151.0
2025-06-07 21:57:30.387000-06:00,19.98804311129247,27.151832248967814,4669,150.0
2025-06-07 21:58:30.387000-06:00,19.795137255633417,25.66528767144842,4095,161.0
