date,tps,cpu_usage,ram_usage,players_online,avg_ping,treatment,iteration
2025-06-11 18:05:55.653000-06:00,19.748712783436403,28.585055061355842,1087,2,,T1,1
2025-06-11 18:06:55.653000-06:00,19.94221895108991,18.12348445636489,1285,2,,T1,1
2025-06-11 18:07:55.653000-06:00,19.8887036554371,24.861581655059922,1248,3,,T1,1
2025-06-11 18:08:55.653000-06:00,19.938329087463117,22.37985248447205,1317,3,,T1,1
2025-06-11 18:09:55.653000-06:00,19.820118338032255,23.489842132505178,1343,3,,T1,1
2025-06-11 18:10:55.653000-06:00,19.9955436940207,22.935630372043413,1326,3,,T1,1
2025-06-11 18:11:55.653000-06:00,19.960786866238305,27.985812315703626,1377,4,,T1,1
2025-06-11 18:12:55.653000-06:00,19.99230411170658,24.959292066629015,1443,4,,T1,1
2025-06-11 18:13:55.653000-06:00,19.99642458144555,27.31543595293594,1428,4,,T1,1
2025-06-11 18:14:55.653000-06:00,19.77054410668767,22.599842202674015,1403,4,,T1,1
2025-06-11 18:15:55.653000-06:00,19.988799190414113,22.5414549218897,1419,4,,T1,1
2025-06-11 18:16:55.653000-06:00,19.997314259424677,22.20607276177929,1425,4,,T1,1
2025-06-11 18:17:55.653000-06:00,19.921949769337516,19.977406048058224,1480,4,,T1,1
2025-06-11 18:18:55.653000-06:00,19.830459168547364,27.966163968881357,1412,5,,T1,1
2025-06-11 18:19:55.653000-06:00,19.620973509590833,25.89785914886029,1487,5,,T1,1
2025-06-11 18:20:55.653000-06:00,19.842711414329806,30.3651479860719,1517,5,,T1,1
2025-06-11 18:21:55.653000-06:00,19.84512076043003,26.950847763347763,1563,5,,T1,1
2025-06-11 18:22:55.653000-06:00,19.84767733781904,24.67741663529706,1608,4,,T1,1
2025-06-11 18:23:55.653000-06:00,19.9894990488007,19.382287549407117,1620,3,,T1,1
2025-06-11 18:24:55.653000-06:00,19.7878957494447,28.45128712344102,1614,3,,T1,1
2025-06-11 18:25:55.653000-06:00,19.99158922887966,19.725276836689883,1696,3,,T1,1
2025-06-11 18:26:55.653000-06:00,19.97076196535858,23.200274876090084,1659,4,,T1,1
2025-06-11 18:27:55.653000-06:00,19.922166237096178,22.96965775770124,1694,4,,T1,1
2025-06-11 18:28:55.653000-06:00,19.944806034515754,25.549589058284706,1676,4,,T1,1
2025-06-11 18:29:55.653000-06:00,19.776621172842837,24.27098626011669,1679,4,,T1,1
2025-06-11 18:30:55.653000-06:00,19.999115401424778,20.122076353598093,1705,4,,T1,1
2025-06-11 18:31:55.653000-06:00,20.0,20.660247662965048,1697,4,,T1,1
2025-06-11 18:32:55.653000-06:00,20.0,19.05483209423426,1697,4,,T1,1
2025-06-11 18:33:55.653000-06:00,20.0,20.14442601480645,1713,4,,T1,1
2025-06-11 18:34:55.653000-06:00,19.79833124426397,19.813017598343695,1706,4,,T1,1
2025-06-11 18:35:55.653000-06:00,19.999666465760413,19.568273966371788,1722,4,,T1,1
2025-06-11 18:36:55.653000-06:00,19.997139733687302,20.165292286216197,1702,4,,T1,1
2025-06-11 18:37:55.653000-06:00,19.916404391101356,22.56263057594579,1714,4,,T1,1
