date,tps,cpu_usage,ram_usage,players_online,avg_ping,treatment,iteration
2025-06-14 16:00:01.016000-06:00,19.832474017405442,17.66887714681832,3639,2,,T5,1_1
2025-06-14 16:01:01.016000-06:00,19.887011173595237,17.88661941525482,4720,2,,T5,1_1
2025-06-14 16:02:01.016000-06:00,20.0,16.488287321689842,4285,2,,T5,1_1
2025-06-14 16:03:01.016000-06:00,20.0,16.785235926473668,4453,2,,T5,1_1
2025-06-14 16:04:01.016000-06:00,20.0,19.1263424245961,4583,2,,T5,1_1
2025-06-14 16:05:01.016000-06:00,19.82114753482318,25.02542773866303,4630,2,,T5,1_1
2025-06-14 16:06:01.016000-06:00,20.0,22.64834675128793,4064,2,,T5,1_1
2025-06-14 16:07:01.016000-06:00,19.820221708742118,29.388284386742637,5056,3,,T5,1_1
2025-06-14 16:08:01.016000-06:00,19.982594225340563,27.37144481905511,4823,3,,T5,1_1
2025-06-14 16:09:01.016000-06:00,19.991760025385947,26.155491798177408,4792,3,,T5,1_1
2025-06-14 16:10:01.016000-06:00,19.78024290291247,26.67931945505475,4484,3,,T5,1_1
2025-06-14 16:11:01.016000-06:00,19.999847958537895,25.764597055423668,4790,3,,T5,1_1
2025-06-14 16:12:01.016000-06:00,20.0,25.901116445071022,5084,3,,T5,1_1
2025-06-14 16:13:01.016000-06:00,19.980541143443187,26.347465881310164,4115,3,,T5,1_1
2025-06-14 16:14:01.016000-06:00,19.611855733236037,24.260999791330676,5035,3,,T5,1_1
2025-06-14 16:15:01.016000-06:00,19.60681200591412,24.825523788862867,4655,3,,T5,1_1
2025-06-14 16:16:01.016000-06:00,19.58299660783127,25.175267202840725,4771,3,,T5,1_1
2025-06-14 16:17:01.710000-06:00,19.81777526812424,24.811544409430436,5250,3,,T5,1_1
2025-06-14 16:18:02.016000-06:00,19.665036114664897,25.384938882552063,4504,3,,T5,1_1
2025-06-14 16:19:02.016000-06:00,19.684126510986175,25.60086762706248,5076,3,,T5,1_1
2025-06-14 16:20:02.016000-06:00,19.649571715564687,23.646299473683246,5177,3,,T5,1_1
2025-06-14 16:21:02.016000-06:00,19.805231883618998,21.25333486638634,5115,3,,T5,1_1
2025-06-14 16:22:02.016000-06:00,19.697255280898737,18.945428412850458,5217,2,,T5,1_1
2025-06-14 16:23:02.016000-06:00,19.999985734788766,20.65382356719634,5883,2,,T5,1_1
2025-06-14 16:24:02.016000-06:00,19.994690603754773,22.376687115958664,5337,2,,T5,1_1
2025-06-14 16:25:02.016000-06:00,19.82068173698317,20.062681252241855,5479,2,,T5,1_1
2025-06-14 16:26:02.016000-06:00,20.0,16.960586917847948,4332,2,,T5,1_1
2025-06-14 16:27:02.016000-06:00,20.0,14.875712430622297,6540,2,,T5,1_1
2025-06-14 16:28:02.016000-06:00,19.88465180761373,15.150549613784907,3926,2,,T5,1_1
2025-06-14 16:29:02.016000-06:00,20.0,14.892561522229506,3822,2,,T5,1_1
2025-06-14 16:30:02.016000-06:00,19.826207586084326,14.873308640416083,5717,2,,T5,1_1
2025-06-14 16:31:02.016000-06:00,20.0,22.667721681048885,5409,2,,T5,1_1
2025-06-14 16:32:02.016000-06:00,20.0,18.836095991426873,4290,2,,T5,1_1
2025-06-14 16:33:02.016000-06:00,19.965242297357054,17.307476462807344,5612,2,,T5,1_1
2025-06-14 16:34:02.016000-06:00,20.0,15.310179216888772,4893,2,,T5,1_1
2025-06-14 16:35:02.016000-06:00,19.81058045966845,14.464859847286908,5233,2,,T5,1_1
2025-06-14 16:36:02.016000-06:00,20.0,16.321376427994068,5139,2,,T5,1_1
2025-06-14 16:37:02.016000-06:00,19.930630569731818,15.154218568740621,4957,2,,T5,1_1
2025-06-14 16:38:02.016000-06:00,20.0,13.372931097536766,4929,1,,T5,1_1
2025-06-14 16:39:02.016000-06:00,19.996912957357964,14.670692243376658,4714,1,,T5,1_1
2025-06-14 16:40:02.016000-06:00,19.87026775822858,14.242905463953257,6161,1,,T5,1_1
2025-06-14 16:41:02.016000-06:00,19.965907462849007,16.17277050116234,4163,1,,T5,1_1
2025-06-14 16:42:02.016000-06:00,19.976966498790436,5.201304006451065,6410,0,,T5,1_2
2025-06-14 16:43:02.016000-06:00,20.0,2.2757304310613127,6905,0,,T5,1_2
2025-06-14 16:44:02.016000-06:00,20.0,1.6511475486659308,6939,0,,T5,1_2
2025-06-14 16:45:02.016000-06:00,20.0,2.299914410208528,6975,0,,T5,1_2
2025-06-14 16:46:02.016000-06:00,20.0,1.8489352248543427,7014,0,,T5,1_2
2025-06-14 16:47:02.016000-06:00,20.0,3.724037396831514,7053,0,,T5,1_2
2025-06-14 16:48:02.016000-06:00,20.0,1.7477046374105194,7088,0,,T5,1_2
2025-06-14 16:49:02.016000-06:00,20.0,2.05211580946875,7123,0,,T5,1_2
2025-06-14 16:50:02.016000-06:00,20.0,3.6229499648617303,7168,0,,T5,1_2
2025-06-14 16:51:02.016000-06:00,20.0,3.0085306850012725,7204,0,,T5,1_2
2025-06-14 16:52:02.016000-06:00,20.0,2.526443089862208,7239,0,,T5,1_2
2025-06-14 16:53:02.016000-06:00,20.0,1.8628476643182528,7273,0,,T5,1_2
2025-06-14 16:54:02.016000-06:00,20.0,1.795409009563421,7307,0,,T5,1_2
